Key,name,serving_size,vitamin_A_pcent,calories,calories_from_fat,carbs_in_grams,carbs_pcent,cholesterol_mg,cholesterol_pcent,fat_in_grams,fat_pcent,fiber_grams,fiber_pcent,potassium_in_mg,potassium_pcent,protein_in_grams,saturated_fat_pcent,saturated_fat_in_grams,sodium_in_mg,sodium_pcent,sugar_in_grams,vitamin_C_pcent
1,"Sausage, Mushroom and Broccoli Quiche Recipe",137.2g,2%,142,37,6.2g,2%,36mg,12%,4.1g,6%,0.9g,4%,304mg,9%,19.2g,7%,1.5g,129mg,5%,0.8g,17%
2,Skinny Soup Recipe,249.7g,37%,51,8,7.7g,3%,0mg,0%,0.9g,1%,2.3g,9%,434mg,12%,3.9g,1%,0.2g,413mg,17%,3.9g,35%
3,Mexican Pita Pizzas Recipe,180.0g,10%,230,56,32.2g,11%,22mg,7%,6.2g,10%,5.2g,21%,374mg,11%,11.4g,17%,3.5g,618mg,26%,3.3g,16%
4,Chicken & Broccoli Bow-Tie Pasta Recipe,131.1g,7%,196,40,24.8g,8%,26mg,9%,4.5g,7%,1.8g,7%,151mg,4%,14.5g,5%,1.1g,157mg,7%,1.1g,64%
5,Keri's Meatloaf Recipe,155.5g,7%,246,71,16.1g,5%,111mg,37%,7.9g,12%,1.2g,5%,475mg,14%,26.2g,16%,3.1g,433mg,18%,5.5g,8%
6,Shrimp & Asparagus Pasta Recipe,216.7g,29%,244,48,25.4g,8%,179mg,60%,5.3g,8%,2.2g,9%,417mg,12%,23.6g,7%,1.4g,245mg,10%,2.3g,74%
7,Chicken Bacon Ranch Pasta Salad Recipe,133.7g,8%,223,46,29.5g,10%,24mg,8%,5.1g,8%,1.2g,5%,243mg,7%,13.7g,7%,1.5g,319mg,13%,2.1g,7%
8,Baked Chicken and Broccoli Recipe,305.2g,9%,356,83,7.5g,2%,148mg,49%,9.2g,14%,1.6g,6%,589mg,17%,57.9g,13%,2.6g,412mg,17%,2.3g,85%
9,Low Fat Alfredo Sauce Recipe,98.2g,6%,92,32,6.6g,2%,13mg,4%,3.6g,6%,0.1g,0%,102mg,3%,7.8g,11%,2.2g,518mg,22%,4.2g,1%
10,Savory Golden Lentil and Sweet Potato Soup Recipe,191.5g,34%,160,15,19.7g,7%,27mg,9%,1.7g,3%,7.2g,29%,484mg,14%,15.6g,2%,0.3g,68mg,3%,2.5g,13%
11,Tex-Mex Summer Squash Casserole Recipe,220.4g,82%,196,86,20.3g,7%,27mg,9%,9.6g,15%,7.1g,28%,643mg,18%,9.8g,27%,5.5g,374mg,16%,7.2g,42%
12,Lean Meatloaf Recipe,169.9g,22%,179,45,9.5g,3%,80mg,27%,5.0g,8%,2.4g,10%,234mg,7%,24.5g,7%,1.3g,178mg,7%,2.3g,26%
13,Claire's Chicken Mexicana Recipe,230.0g,10%,184,31,16.3g,5%,66mg,22%,3.4g,5%,3.2g,13%,314mg,9%,26.1g,3%,0.6g,438mg,18%,4.1g,21%
14,Chicken Pasta Casserole Recipe,187.0g,12%,233,57,19.7g,7%,56mg,19%,6.3g,10%,1.1g,4%,269mg,8%,22.8g,12%,2.4g,262mg,11%,1.8g,65%
